rider_id,store_id,shift,vehicle,active
R0001,DS001,C,Bike,True
R0002,DS001,B,Bike,True
R0003,DS001,C,Scooter,True
R0004,DS001,B,EV,True
R0005,DS001,A,Bike,True
R0006,DS001,B,Bike,True
R0007,DS001,C,Scooter,True
R0008,DS001,C,Bike,True
R0009,DS001,C,Scooter,True
R0010,DS001,A,Bike,True
R0011,DS001,A,Bike,True
R0012,DS001,C,Bike,True
R0013,DS001,C,Bike,True
R0014,DS001,C,Bike,True
R0015,DS002,A,Bike,True
R0016,DS002,B,Bike,True
R0017,DS002,A,Bike,True
R0018,DS002,C,Scooter,True
R0019,DS002,A,Scooter,True
R0020,DS002,C,Bike,True
R0021,DS002,B,Bike,True
R0022,DS002,C,EV,True
R0023,DS002,C,Bike,True
R0024,DS002,B,Bike,True
R0025,DS002,A,Bike,True
R0026,DS002,B,Bike,True
R0027,DS003,A,Bike,True
R0028,DS003,A,Bike,True
R0029,DS003,C,Scooter,True
R0030,DS003,A,Bike,True
R0031,DS003,B,Bike,True
R0032,DS003,C,Scooter,True
R0033,DS003,C,EV,True
R0034,DS003,C,Scooter,True
R0035,DS003,B,Scooter,True
R0036,DS003,C,Scooter,True
R0037,DS003,C,Bike,True
R0038,DS003,A,Bike,True
R0039,DS004,C,Bike,True
R0040,DS004,C,Scooter,True
R0041,DS004,B,Bike,True
R0042,DS004,A,Bike,True
R0043,DS004,A,Bike,True
R0044,DS004,B,Bike,True
R0045,DS004,A,Bike,True
R0046,DS004,C,Bike,True
R0047,DS004,A,Scooter,True
R0048,DS004,A,EV,True
R0049,DS004,A,EV,True
R0050,DS004,C,Bike,True
R0051,DS004,B,Bike,True
R0052,DS004,C,Scooter,True
R0053,DS004,C,Scooter,True
R0054,DS005,B,Scooter,True
R0055,DS005,A,Scooter,True
R0056,DS005,A,Bike,True
R0057,DS005,B,EV,True
R0058,DS005,C,Bike,True
R0059,DS005,C,Bike,True
R0060,DS005,B,Scooter,True
R0061,DS005,B,EV,True
R0062,DS005,A,Bike,True
R0063,DS005,C,Scooter,True
R0064,DS005,C,Scooter,True
R0065,DS005,B,Scooter,True
R0066,DS006,C,Bike,True
R0067,DS006,C,Scooter,True
R0068,DS006,A,Scooter,True
R0069,DS006,A,Bike,True
R0070,DS006,A,Scooter,True
R0071,DS006,B,Bike,True
R0072,DS006,C,Scooter,True
R0073,DS006,B,Scooter,True
R0074,DS006,B,Scooter,True
R0075,DS006,B,EV,True
R0076,DS006,C,Bike,True
R0077,DS006,A,Bike,True
R0078,DS006,B,Bike,True
R0079,DS006,B,Scooter,True
R0080,DS007,C,Bike,True
R0081,DS007,C,Scooter,True
R0082,DS007,C,Bike,True
R0083,DS007,C,Bike,True
R0084,DS007,B,Bike,True
R0085,DS007,C,EV,True
R0086,DS007,A,Bike,True
R0087,DS007,C,Scooter,True
R0088,DS007,B,Scooter,True
R0089,DS008,C,Scooter,True
R0090,DS008,B,Bike,True
R0091,DS008,B,EV,True
R0092,DS008,A,EV,True
R0093,DS008,C,Bike,True
R0094,DS008,A,Scooter,True
R0095,DS008,C,Bike,True
R0096,DS008,B,Scooter,True
R0097,DS008,B,Bike,True
R0098,DS008,A,Scooter,True
R0099,DS008,B,Bike,True
R0100,DS008,C,Bike,True
R0101,DS008,B,Bike,True
R0102,DS008,B,Scooter,True
R0103,DS008,C,Bike,True
R0104,DS009,C,EV,True
R0105,DS009,C,Scooter,True
R0106,DS009,A,Bike,True
R0107,DS009,B,Scooter,True
R0108,DS009,C,Scooter,True
R0109,DS009,B,EV,True
R0110,DS009,A,Bike,True
R0111,DS009,A,Bike,True
R0112,DS009,A,Scooter,True
R0113,DS009,C,EV,True
R0114,DS009,A,Scooter,True
R0115,DS010,A,Bike,True
R0116,DS010,A,Scooter,True
R0117,DS010,A,Scooter,True
R0118,DS010,C,Scooter,True
R0119,DS010,A,Bike,True
R0120,DS010,C,EV,True
R0121,DS010,C,Scooter,True
R0122,DS010,C,Scooter,True
R0123,DS010,C,Bike,True
R0124,DS010,B,Bike,True
R0125,DS010,A,Bike,True
R0126,DS010,B,Scooter,True
R0127,DS010,C,EV,True
R0128,DS010,B,Scooter,True
R0129,DS010,A,Bike,True
R0130,DS011,A,Scooter,True
R0131,DS011,B,Scooter,True
R0132,DS011,C,Bike,True
R0133,DS011,A,Bike,True
R0134,DS011,B,EV,True
R0135,DS011,B,Bike,True
R0136,DS011,C,Bike,True
R0137,DS011,C,EV,True
R0138,DS012,B,Scooter,True
R0139,DS012,B,Scooter,True
R0140,DS012,C,Bike,True
R0141,DS012,B,EV,True
R0142,DS012,B,Scooter,True
R0143,DS012,A,Scooter,True
R0144,DS012,A,EV,True
R0145,DS012,B,Bike,True
R0146,DS012,B,Bike,True
R0147,DS013,C,Bike,True
R0148,DS013,B,Bike,True
R0149,DS013,C,Bike,True
R0150,DS013,A,Bike,True
R0151,DS013,C,Scooter,True
R0152,DS013,B,Bike,True
R0153,DS013,A,Bike,True
R0154,DS013,B,Scooter,True
R0155,DS013,B,Bike,True
R0156,DS013,A,Bike,True
R0157,DS013,B,Bike,True
R0158,DS013,B,Scooter,True
R0159,DS014,B,Scooter,True
R0160,DS014,B,Scooter,True
R0161,DS014,B,Bike,True
R0162,DS014,A,Bike,True
R0163,DS014,C,Bike,True
R0164,DS014,B,Bike,True
R0165,DS014,B,Bike,True
R0166,DS014,C,EV,True
R0167,DS014,C,EV,True
R0168,DS014,C,Bike,True
R0169,DS015,A,Bike,True
R0170,DS015,C,Scooter,True
R0171,DS015,B,Bike,True
R0172,DS015,B,Bike,True
R0173,DS015,C,Bike,True
R0174,DS015,C,Bike,True
R0175,DS015,B,Bike,True
R0176,DS015,B,Bike,True
R0177,DS015,A,Bike,True
R0178,DS015,C,Scooter,True
R0179,DS015,C,Bike,True
R0180,DS015,C,Bike,True
R0181,DS016,B,Bike,True
R0182,DS016,B,EV,True
R0183,DS016,B,EV,True
R0184,DS016,B,Bike,True
R0185,DS016,C,Scooter,True
R0186,DS016,A,Bike,True
R0187,DS016,C,Scooter,True
R0188,DS016,B,Bike,True
R0189,DS016,A,Bike,True
R0190,DS017,A,Bike,True
R0191,DS017,B,EV,True
R0192,DS017,C,Scooter,True
R0193,DS017,A,EV,True
R0194,DS017,C,Bike,True
R0195,DS017,B,Bike,True
R0196,DS017,B,Bike,True
R0197,DS017,C,Bike,True
R0198,DS017,C,Bike,True
R0199,DS017,C,Bike,True
R0200,DS017,A,EV,True
