order_id,sku_id,qty_ordered,qty_fulfilled,unit_price,line_gmv,line_discount,line_cost,stockout_flag
ORD100001,SKU0020,3,3,96.22,288.66,0.0,208.74,0
ORD100001,SKU0068,2,0,77.5,0.0,0.0,0.0,1
ORD100002,SKU0069,2,2,123.83,247.66,24.77,184.36,0
ORD100003,SKU0025,2,2,46.17,92.34,4.62,62.48,0
ORD100003,SKU0034,1,1,47.56,47.56,2.38,34.02,0
ORD100003,SKU0035,3,3,75.7,227.09,11.35,134.94,0
ORD100004,SKU0044,1,1,46.21,46.21,0.0,32.82,0
ORD100004,SKU0053,3,3,38.22,114.66,0.0,78.21,0
ORD100004,SKU0076,1,1,183.73,183.73,0.0,136.73,0
ORD100005,SKU0063,1,0,122.53,0.0,0.0,0.0,1
ORD100005,SKU0074,2,2,57.47,114.93,11.49,82.1,0
ORD100005,SKU0022,1,1,18.66,18.66,1.87,10.84,0
ORD100006,SKU0060,3,3,36.62,109.86,0.0,89.55,0
ORD100006,SKU0032,2,2,38.54,77.08,0.0,53.3,0
ORD100006,SKU0056,2,2,144.12,288.23,0.0,215.2,0
ORD100007,SKU0011,2,2,98.98,197.96,0.0,144.46,0
ORD100007,SKU0043,3,3,56.13,168.4,0.0,116.64,0
ORD100008,SKU0027,2,2,27.34,54.68,5.47,44.74,0
ORD100008,SKU0036,2,2,46.0,92.0,9.2,54.84,0
ORD100008,SKU0034,3,3,47.16,141.47,14.15,102.06,0
ORD100008,SKU0071,3,3,47.4,142.19,14.22,91.02,0
ORD100009,SKU0049,3,3,97.53,292.6,58.52,170.7,0
ORD100009,SKU0035,1,1,73.85,73.85,14.77,44.98,0
ORD100009,SKU0069,3,3,119.73,359.19,71.84,276.54,0
ORD100009,SKU0039,1,1,75.92,75.92,15.18,49.75,0
ORD100010,SKU0020,2,2,94.68,189.37,0.0,139.16,0
ORD100011,SKU0019,1,1,36.23,36.23,0.0,27.39,0
ORD100011,SKU0032,1,1,35.88,35.88,0.0,26.65,0
ORD100012,SKU0027,1,1,28.84,28.84,0.0,22.37,0
ORD100012,SKU0019,2,2,38.1,76.2,19.05,54.78,0
ORD100013,SKU0020,1,0,97.81,0.0,0.0,0.0,1
ORD100013,SKU0008,1,1,125.07,125.07,12.51,82.45,0
ORD100014,SKU0064,1,1,92.79,92.79,0.0,76.58,0
ORD100014,SKU0026,2,2,74.69,149.37,0.0,100.04,0
ORD100014,SKU0012,3,0,55.92,0.0,0.0,0.0,1
ORD100015,SKU0005,1,1,56.67,56.67,0.0,35.53,0
ORD100016,SKU0071,2,2,47.52,95.03,0.0,60.68,0
ORD100016,SKU0045,3,3,47.41,142.23,0.0,81.57,0
ORD100016,SKU0008,1,1,125.53,125.53,0.0,82.45,0
ORD100017,SKU0048,3,3,38.14,114.43,0.0,82.11,0
ORD100017,SKU0045,1,1,48.93,48.93,0.0,27.19,0
ORD100017,SKU0078,3,0,18.26,0.0,0.0,0.0,1
ORD100017,SKU0015,3,3,56.74,170.21,0.0,120.12,0
ORD100018,SKU0012,1,1,55.22,55.22,0.0,34.35,0
ORD100018,SKU0029,1,1,98.31,98.31,0.0,70.77,0
ORD100019,SKU0061,3,3,26.91,80.74,0.0,64.47,0
ORD100019,SKU0072,2,2,54.39,108.78,0.0,82.9,0
ORD100019,SKU0056,3,3,141.58,424.73,0.0,322.8,0
ORD100020,SKU0031,2,2,138.64,277.29,0.0,195.14,0
ORD100020,SKU0027,1,1,27.47,27.47,0.0,22.37,0
ORD100021,SKU0038,2,2,72.97,145.93,14.59,93.1,0
ORD100022,SKU0070,2,2,27.0,54.0,2.7,33.56,0
