event_id,order_id,store_id,sku_id,event_ts,reason
SO100001_SKU0068,ORD100001,DS001,SKU0068,2025-08-01 17:43:29,Damaged
SO100005_SKU0063,ORD100005,DS001,SKU0063,2025-08-01 19:38:05,Zero on hand
SO100013_SKU0020,ORD100013,DS001,SKU0020,2025-08-01 08:09:06,Damaged
SO100014_SKU0012,ORD100014,DS001,SKU0012,2025-08-01 18:54:59,Zero on hand
SO100017_SKU0078,ORD100017,DS001,SKU0078,2025-08-01 12:35:50,Zero on hand
SO100026_SKU0074,ORD100026,DS001,SKU0074,2025-08-01 11:28:49,Damaged
SO100032_SKU0037,ORD100032,DS001,SKU0037,2025-08-01 18:14:38,Expired
SO100036_SKU0013,ORD100036,DS001,SKU0013,2025-08-01 10:34:52,Zero on hand
SO100040_SKU0066,ORD100040,DS001,SKU0066,2025-08-01 20:12:46,Pick fail
SO100086_SKU0062,ORD100086,DS001,SKU0062,2025-08-01 19:06:50,Pick fail
SO100089_SKU0018,ORD100089,DS001,SKU0018,2025-08-01 19:20:07,Zero on hand
SO100089_SKU0048,ORD100089,DS001,SKU0048,2025-08-01 19:20:07,Expired
SO100113_SKU0050,ORD100113,DS002,SKU0050,2025-08-01 12:01:15,Damaged
SO100115_SKU0062,ORD100115,DS002,SKU0062,2025-08-01 15:05:24,Pick fail
SO100122_SKU0021,ORD100122,DS002,SKU0021,2025-08-01 19:15:21,Damaged
SO100128_SKU0041,ORD100128,DS002,SKU0041,2025-08-01 18:41:57,Zero on hand
SO100146_SKU0019,ORD100146,DS002,SKU0019,2025-08-01 19:08:04,Zero on hand
SO100158_SKU0069,ORD100158,DS002,SKU0069,2025-08-01 10:22:26,Damaged
SO100165_SKU0065,ORD100165,DS002,SKU0065,2025-08-01 20:00:31,Pick fail
SO100169_SKU0026,ORD100169,DS002,SKU0026,2025-08-01 19:59:08,Pick fail
SO100172_SKU0048,ORD100172,DS002,SKU0048,2025-08-01 10:11:45,Damaged
SO100172_SKU0060,ORD100172,DS002,SKU0060,2025-08-01 10:11:45,Expired
SO100184_SKU0048,ORD100184,DS003,SKU0048,2025-08-01 14:30:16,Expired
SO100199_SKU0005,ORD100199,DS003,SKU0005,2025-08-01 19:38:23,Pick fail
SO100206_SKU0061,ORD100206,DS003,SKU0061,2025-08-01 16:19:25,Damaged
SO100213_SKU0060,ORD100213,DS003,SKU0060,2025-08-01 11:45:50,Damaged
SO100215_SKU0073,ORD100215,DS003,SKU0073,2025-08-01 09:18:16,Pick fail
SO100220_SKU0054,ORD100220,DS003,SKU0054,2025-08-01 17:02:43,Pick fail
SO100235_SKU0013,ORD100235,DS003,SKU0013,2025-08-01 16:30:28,Damaged
SO100235_SKU0054,ORD100235,DS003,SKU0054,2025-08-01 16:30:28,Expired
SO100245_SKU0055,ORD100245,DS003,SKU0055,2025-08-01 13:14:40,Zero on hand
SO100245_SKU0006,ORD100245,DS003,SKU0006,2025-08-01 13:14:40,Damaged
SO100256_SKU0051,ORD100256,DS003,SKU0051,2025-08-01 10:44:52,Zero on hand
SO100260_SKU0069,ORD100260,DS003,SKU0069,2025-08-01 12:17:54,Expired
SO100263_SKU0019,ORD100263,DS003,SKU0019,2025-08-01 19:59:35,Pick fail
SO100276_SKU0037,ORD100276,DS003,SKU0037,2025-08-01 22:11:53,Damaged
SO100288_SKU0006,ORD100288,DS003,SKU0006,2025-08-01 19:18:53,Expired
SO100298_SKU0048,ORD100298,DS004,SKU0048,2025-08-01 16:06:33,Pick fail
SO100307_SKU0002,ORD100307,DS004,SKU0002,2025-08-01 20:19:18,Pick fail
SO100338_SKU0066,ORD100338,DS004,SKU0066,2025-08-01 08:50:06,Pick fail
SO100339_SKU0022,ORD100339,DS004,SKU0022,2025-08-01 14:10:51,Expired
SO100350_SKU0038,ORD100350,DS004,SKU0038,2025-08-01 22:07:22,Damaged
SO100353_SKU0010,ORD100353,DS004,SKU0010,2025-08-01 17:38:31,Expired
SO100361_SKU0039,ORD100361,DS004,SKU0039,2025-08-01 17:01:30,Damaged
SO100363_SKU0006,ORD100363,DS004,SKU0006,2025-08-01 22:19:13,Zero on hand
SO100369_SKU0005,ORD100369,DS004,SKU0005,2025-08-01 17:26:25,Pick fail
SO100374_SKU0005,ORD100374,DS005,SKU0005,2025-08-01 15:23:54,Expired
SO100389_SKU0017,ORD100389,DS005,SKU0017,2025-08-01 12:07:27,Pick fail
SO100401_SKU0023,ORD100401,DS005,SKU0023,2025-08-01 14:50:02,Pick fail
SO100401_SKU0003,ORD100401,DS005,SKU0003,2025-08-01 14:50:02,Zero on hand
SO100405_SKU0055,ORD100405,DS005,SKU0055,2025-08-01 22:11:26,Pick fail
SO100407_SKU0072,ORD100407,DS005,SKU0072,2025-08-01 19:29:44,Expired
SO100417_SKU0077,ORD100417,DS005,SKU0077,2025-08-01 16:14:43,Damaged
SO100420_SKU0001,ORD100420,DS005,SKU0001,2025-08-01 15:47:59,Zero on hand
SO100421_SKU0067,ORD100421,DS005,SKU0067,2025-08-01 12:27:52,Expired
SO100430_SKU0055,ORD100430,DS005,SKU0055,2025-08-01 10:23:48,Damaged
SO100432_SKU0036,ORD100432,DS005,SKU0036,2025-08-01 19:56:56,Damaged
SO100440_SKU0012,ORD100440,DS005,SKU0012,2025-08-01 12:05:00,Damaged
SO100441_SKU0055,ORD100441,DS005,SKU0055,2025-08-01 14:19:55,Expired
SO100442_SKU0025,ORD100442,DS005,SKU0025,2025-08-01 13:30:02,Zero on hand
SO100451_SKU0007,ORD100451,DS005,SKU0007,2025-08-01 17:23:41,Damaged
SO100455_SKU0033,ORD100455,DS005,SKU0033,2025-08-01 19:36:18,Pick fail
SO100456_SKU0079,ORD100456,DS005,SKU0079,2025-08-01 12:13:32,Zero on hand
SO100473_SKU0051,ORD100473,DS005,SKU0051,2025-08-01 13:14:16,Zero on hand
SO100475_SKU0020,ORD100475,DS005,SKU0020,2025-08-01 22:47:38,Pick fail
SO100478_SKU0002,ORD100478,DS005,SKU0002,2025-08-01 10:06:42,Expired
SO100484_SKU0070,ORD100484,DS005,SKU0070,2025-08-01 18:34:48,Pick fail
SO100488_SKU0039,ORD100488,DS005,SKU0039,2025-08-01 17:16:14,Pick fail
SO100507_SKU0072,ORD100507,DS006,SKU0072,2025-08-01 16:26:01,Damaged
