order_id,store_id,metro,zone,ordered_at,order_date,hour,slot,weather,promo_type,status,cancel_reason,rider_id,promise_minutes,o2d_minutes,sla_hit,gmv,discount_amount,delivery_fee,net_gmv,cogs,lines_ordered,lines_fulfilled,had_stockout
ORD100001,DS001,Mumbai,Andheri West,2025-08-01 17:43:29,2025-08-01,17,Evening,Clear,None,Partial,,R0006,15,12.49,1,288.66,0.0,0.0,288.66,208.74,2,1,1
ORD100002,DS001,Mumbai,Andheri West,2025-08-01 16:25:54,2025-08-01,16,Evening,Clear,Flat10,Delivered,,R0005,15,9.46,1,247.66,24.77,0.0,222.89,184.36,1,1,0
ORD100003,DS001,Mumbai,Andheri West,2025-08-01 11:15:01,2025-08-01,11,Lunch,Clear,WalletCashback,Delivered,,R0009,15,7.82,1,367.0,18.35,0.0,348.65,231.44,3,3,0
ORD100004,DS001,Mumbai,Andheri West,2025-08-01 10:30:43,2025-08-01,10,Morning,Clear,None,Delivered,,R0002,15,6.03,1,344.6,0.0,0.0,344.6,247.76,3,3,0
ORD100005,DS001,Mumbai,Andheri West,2025-08-01 19:38:05,2025-08-01,19,Evening,Clear,Flat10,Partial,,R0007,15,9.45,1,133.59,13.36,25.0,145.23,92.94,3,2,1
ORD100006,DS001,Mumbai,Andheri West,2025-08-01 16:00:15,2025-08-01,16,Evening,Clear,None,Delivered,,R0006,15,9.93,1,475.18,0.0,0.0,475.18,358.05,3,3,0
ORD100007,DS001,Mumbai,Andheri West,2025-08-01 23:48:38,2025-08-01,23,Late Night,Clear,None,Delivered,,R0009,15,7.07,1,366.36,0.0,0.0,366.36,261.1,2,2,0
ORD100008,DS001,Mumbai,Andheri West,2025-08-01 08:18:27,2025-08-01,8,Morning,Clear,Flat10,Delivered,,R0001,15,9.09,1,430.34,43.03,0.0,387.3,292.66,4,4,0
ORD100009,DS001,Mumbai,Andheri West,2025-08-01 17:16:15,2025-08-01,17,Evening,Clear,Flash20,Cancelled,Store closed,,15,,0,0.0,0.0,0.0,0.0,0.0,4,0,0
ORD100010,DS001,Mumbai,Andheri West,2025-08-01 22:44:06,2025-08-01,22,Late Night,Clear,None,Delivered,,R0001,15,7.5,1,189.37,0.0,25.0,214.37,139.16,1,1,0
ORD100011,DS001,Mumbai,Andheri West,2025-08-01 18:26:12,2025-08-01,18,Evening,Clear,None,Delivered,,R0004,15,7.87,1,72.11,0.0,25.0,97.11,54.04,2,2,0
ORD100012,DS001,Mumbai,Andheri West,2025-08-01 12:19:54,2025-08-01,12,Lunch,Clear,BOGO,Delivered,,R0007,15,8.54,1,105.04,19.05,25.0,110.99,77.15,2,2,0
ORD100013,DS001,Mumbai,Andheri West,2025-08-01 08:09:06,2025-08-01,8,Morning,Clear,Flat10,Partial,,R0012,15,8.49,1,125.07,12.51,25.0,137.56,82.45,2,1,1
ORD100014,DS001,Mumbai,Andheri West,2025-08-01 18:54:59,2025-08-01,18,Evening,Clear,None,Partial,,R0003,15,13.16,1,242.17,0.0,0.0,242.17,176.62,3,2,1
ORD100015,DS001,Mumbai,Andheri West,2025-08-01 10:35:46,2025-08-01,10,Morning,Clear,BOGO,Cancelled,Store closed,,15,,0,0.0,0.0,0.0,0.0,0.0,1,0,0
ORD100016,DS001,Mumbai,Andheri West,2025-08-01 23:00:34,2025-08-01,23,Late Night,Clear,None,Cancelled,Customer,,15,,0,0.0,0.0,0.0,0.0,0.0,3,0,0
ORD100017,DS001,Mumbai,Andheri West,2025-08-01 12:35:50,2025-08-01,12,Lunch,Clear,None,Cancelled,Stockout,,15,,0,0.0,0.0,0.0,0.0,0.0,4,0,1
ORD100018,DS001,Mumbai,Andheri West,2025-08-01 20:39:23,2025-08-01,20,Evening,Clear,BOGO,Delivered,,R0010,15,9.14,1,153.53,0.0,25.0,178.53,105.12,2,2,0
ORD100019,DS001,Mumbai,Andheri West,2025-08-01 19:43:56,2025-08-01,19,Evening,Clear,None,Delivered,,R0001,15,15.18,0,614.24,0.0,0.0,614.24,470.17,3,3,0
ORD100020,DS001,Mumbai,Andheri West,2025-08-01 21:36:30,2025-08-01,21,Late Night,Clear,None,Delivered,,R0010,15,8.81,1,304.75,0.0,0.0,304.75,217.51,2,2,0
ORD100021,DS001,Mumbai,Andheri West,2025-08-01 11:58:11,2025-08-01,11,Lunch,Clear,Flat10,Delivered,,R0004,15,4.42,1,145.93,14.59,25.0,156.34,93.1,1,1,0
ORD100022,DS001,Mumbai,Andheri West,2025-08-01 12:18:45,2025-08-01,12,Lunch,Clear,WalletCashback,Delivered,,R0012,15,7.42,1,411.24,20.56,0.0,390.68,247.83,4,4,0
ORD100023,DS001,Mumbai,Andheri West,2025-08-01 14:22:06,2025-08-01,14,Lunch,Clear,Flash20,Delivered,,R0010,15,6.12,1,818.9,163.78,0.0,655.12,597.73,4,4,0
ORD100024,DS001,Mumbai,Andheri West,2025-08-01 21:04:53,2025-08-01,21,Late Night,Clear,Flash20,Delivered,,R0014,15,10.82,1,223.43,44.69,0.0,178.74,155.42,2,2,0
ORD100025,DS001,Mumbai,Andheri West,2025-08-01 12:12:52,2025-08-01,12,Lunch,Clear,None,Delivered,,R0006,15,9.93,1,224.14,0.0,0.0,224.14,156.03,1,1,0
ORD100026,DS001,Mumbai,Andheri West,2025-08-01 11:28:49,2025-08-01,11,Lunch,Clear,None,Partial,,R0003,15,8.2,1,379.86,0.0,0.0,379.86,245.48,4,3,1
ORD100027,DS001,Mumbai,Andheri West,2025-08-01 13:55:24,2025-08-01,13,Lunch,Clear,None,Delivered,,R0011,15,9.68,1,210.04,0.0,0.0,210.04,148.59,3,3,0
ORD100028,DS001,Mumbai,Andheri West,2025-08-01 19:21:23,2025-08-01,19,Evening,Clear,Flat10,Delivered,,R0010,15,11.52,1,154.07,15.41,25.0,163.66,97.07,2,2,0
ORD100029,DS001,Mumbai,Andheri West,2025-08-01 08:53:19,2025-08-01,8,Morning,Clear,None,Delivered,,R0013,15,9.42,1,363.68,0.0,0.0,363.68,230.34,1,1,0
ORD100030,DS001,Mumbai,Andheri West,2025-08-01 21:44:12,2025-08-01,21,Late Night,Clear,Flat10,Delivered,,R0010,15,10.65,1,237.51,23.75,0.0,213.76,164.85,3,3,0
ORD100031,DS001,Mumbai,Andheri West,2025-08-01 13:51:32,2025-08-01,13,Lunch,Clear,None,Delivered,,R0010,15,13.02,1,154.69,0.0,25.0,179.69,89.68,2,2,0
ORD100032,DS001,Mumbai,Andheri West,2025-08-01 18:14:38,2025-08-01,18,Evening,Clear,None,Partial,,R0002,15,10.23,1,54.38,0.0,25.0,79.38,40.86,2,1,1
ORD100033,DS001,Mumbai,Andheri West,2025-08-01 23:23:17,2025-08-01,23,Late Night,Clear,None,Delivered,,R0007,15,9.58,1,95.02,0.0,25.0,120.02,62.26,1,1,0
ORD100034,DS001,Mumbai,Andheri West,2025-08-01 18:53:27,2025-08-01,18,Evening,Clear,Flash20,Delivered,,R0002,15,9.06,1,27.66,5.53,25.0,47.13,20.43,1,1,0
ORD100035,DS001,Mumbai,Andheri West,2025-08-01 13:58:17,2025-08-01,13,Lunch,Clear,None,Delivered,,R0012,15,8.54,1,312.74,0.0,0.0,312.74,216.3,2,2,0
ORD100036,DS001,Mumbai,Andheri West,2025-08-01 10:34:52,2025-08-01,10,Morning,Clear,None,Partial,,R0007,15,12.5,1,48.12,0.0,25.0,73.12,31.24,2,1,1
ORD100037,DS001,Mumbai,Andheri West,2025-08-01 20:33:32,2025-08-01,20,Evening,Clear,Flash20,Delivered,,R0006,15,13.37,1,252.59,50.52,0.0,202.07,164.9,1,1,0
ORD100038,DS001,Mumbai,Andheri West,2025-08-01 11:38:45,2025-08-01,11,Lunch,Clear,None,Delivered,,R0011,15,5.71,1,467.15,0.0,0.0,467.15,327.51,4,4,0
ORD100039,DS001,Mumbai,Andheri West,2025-08-01 20:33:22,2025-08-01,20,Evening,Clear,None,Delivered,,R0001,15,6.51,1,195.47,0.0,25.0,220.47,123.35,3,3,0
ORD100040,DS001,Mumbai,Andheri West,2025-08-01 20:12:46,2025-08-01,20,Evening,Clear,None,Partial,,R0010,15,9.4,1,170.64,0.0,25.0,195.64,112.79,3,2,1
ORD100041,DS001,Mumbai,Andheri West,2025-08-01 13:14:03,2025-08-01,13,Lunch,Clear,None,Delivered,,R0002,15,9.16,1,282.61,0.0,0.0,282.61,168.69,2,2,0
ORD100042,DS001,Mumbai,Andheri West,2025-08-01 16:49:08,2025-08-01,16,Evening,Clear,None,Delivered,,R0006,15,13.44,1,586.36,0.0,0.0,586.36,396.29,4,4,0
ORD100043,DS001,Mumbai,Andheri West,2025-08-01 14:26:25,2025-08-01,14,Lunch,Clear,Flat10,Delivered,,R0008,15,9.89,1,223.5,22.35,0.0,201.15,155.23,2,2,0
ORD100044,DS001,Mumbai,Andheri West,2025-08-01 11:05:30,2025-08-01,11,Lunch,Clear,None,Delivered,,R0014,15,8.21,1,733.31,0.0,0.0,733.31,481.29,3,3,0
ORD100045,DS001,Mumbai,Andheri West,2025-08-01 17:40:04,2025-08-01,17,Evening,Clear,BOGO,Cancelled,Payment failed,,15,,0,0.0,0.0,0.0,0.0,0.0,1,0,0
ORD100046,DS001,Mumbai,Andheri West,2025-08-01 13:47:52,2025-08-01,13,Lunch,Clear,None,Delivered,,R0013,15,4.43,1,437.56,0.0,0.0,437.56,266.89,4,4,0
ORD100047,DS001,Mumbai,Andheri West,2025-08-01 14:56:22,2025-08-01,14,Lunch,Clear,None,Delivered,,R0012,15,10.88,1,56.26,0.0,25.0,81.26,41.67,1,1,0
ORD100048,DS001,Mumbai,Andheri West,2025-08-01 18:34:09,2025-08-01,18,Evening,Clear,Flat10,Delivered,,R0009,15,9.11,1,412.67,41.27,0.0,371.41,292.71,1,1,0
