order_date,date_key,dow,is_weekend,week_num
2025-08-01,20250801,Friday,0,31
2025-08-02,20250802,Saturday,1,31
2025-08-03,20250803,Sunday,1,31
2025-08-04,20250804,Monday,0,32
2025-08-05,20250805,Tuesday,0,32
2025-08-06,20250806,Wednesday,0,32
2025-08-07,20250807,Thursday,0,32
2025-08-08,20250808,Friday,0,32
2025-08-09,20250809,Saturday,1,32
2025-08-10,20250810,Sunday,1,32
2025-08-11,20250811,Monday,0,33
2025-08-12,20250812,Tuesday,0,33
2025-08-13,20250813,Wednesday,0,33
2025-08-14,20250814,Thursday,0,33
2025-08-15,20250815,Friday,0,33
2025-08-16,20250816,Saturday,1,33
2025-08-17,20250817,Sunday,1,33
2025-08-18,20250818,Monday,0,34
2025-08-19,20250819,Tuesday,0,34
2025-08-20,20250820,Wednesday,0,34
2025-08-21,20250821,Thursday,0,34
2025-08-22,20250822,Friday,0,34
2025-08-23,20250823,Saturday,1,34
2025-08-24,20250824,Sunday,1,34
2025-08-25,20250825,Monday,0,35
2025-08-26,20250826,Tuesday,0,35
2025-08-27,20250827,Wednesday,0,35
2025-08-28,20250828,Thursday,0,35
2025-08-29,20250829,Friday,0,35
2025-08-30,20250830,Saturday,1,35
