slot,weather,orders,sla_hit_pct,o2d_p50,cancel_pct
Evening,Clear,14715,0.8086306489976215,10.12,0.0599388379204893
Evening,Heat,3781,0.7450409944459138,11.07,0.05210261835493256
Evening,Heavy Rain,677,0.1935007385524372,18.18,0.0915805022156573
Evening,Rain,2954,0.5947867298578199,13.14,0.05247122545700745
Late Night,Clear,3186,0.8606403013182674,9.09,0.059322033898305086
Late Night,Heat,768,0.8033854166666666,9.975000000000001,0.059895833333333336
Late Night,Heavy Rain,140,0.2357142857142857,16.85,0.07857142857142857
Late Night,Rain,666,0.6471471471471472,12.14,0.05105105105105105
Lunch,Clear,9260,0.8620950323974083,9.15,0.058099352051835855
Lunch,Heat,2410,0.8045643153526971,10.085,0.053112033195020746
Lunch,Heavy Rain,439,0.27107061503416857,17.175,0.07972665148063782
Lunch,Rain,1794,0.6800445930880713,12.06,0.048494983277591976
Morning,Clear,4767,0.8609188168659534,9.15,0.05894692678833648
Morning,Heat,1219,0.8260869565217391,10.23,0.0475799835931091
Morning,Heavy Rain,223,0.23766816143497757,17.29,0.11210762331838565
Morning,Rain,960,0.6645833333333333,12.235,0.052083333333333336
